# m1_extract v1 — DERIVED DATA (a Modified Version), not an original work.
# Source:  Cremona ecdata, https://github.com/JohnCremona/ecdata
#          release tag 2026-04-22, commit 25cec5ecfec8b9f016eb1631ac633194c2bed39f
# License: Artistic License 2.0 (ecdata's LICENSE) — redistribution of Modified
#          Versions is permitted with this notice retained. (c) J. Cremona and
#          contributors. Raw-slice sha256s pinned in data/cremona/MANIFEST.json.
# Derived by: `at ecdata-extract --lo 2500 --hi 10000` (this repo).
# Contents: one primitive-isogeny-class representative per line — the rows Stage
#          M1 consumes; good-prime a_p is COMPUTED from the model, not stored.
# range 2500 10000
# LABEL N a1 a2 a3 a4 a6 RANK BAD(p:w,...|-)
2502a 2502 1 -1 0 -366 980 0 2:1,3:1,139:-1
2502b 2502 1 -1 0 -72 -212 0 2:1,3:-1,139:1
2502c 2502 1 -1 0 -630 -9612 0 2:1,3:-1,139:1
2502d 2502 1 -1 0 18 40 1 2:1,3:-1,139:-1
2502e 2502 1 -1 0 -9 -243 1 2:1,3:-1,139:-1
2502f 2502 1 -1 0 -9243 -340187 1 2:1,3:-1,139:-1
2502g 2502 1 -1 1 -41 -23 1 2:-1,3:1,139:-1
2502h 2502 1 -1 1 -106151 6311135 1 2:-1,3:-1,139:1
2502i 2502 1 -1 1 -536 4907 1 2:-1,3:-1,139:1
2502j 2502 1 -1 1 4 -277 0 2:-1,3:-1,139:-1
2502k 2502 1 -1 1 -5414 -151963 0 2:-1,3:-1,139:-1
2504a 2504 0 0 0 -19 -50 0 2:1,313:-1
2505a 2505 1 0 0 -10 -25 1 3:-1,5:-1,167:1
2506a 2506 1 1 0 -21010 -1247232 1 2:1,7:-1,179:-1
2507a 2507 0 1 1 7 -53 1 23:-1,109:-1
2508a 2508 0 1 0 -133 551 0 2:-1,3:-1,11:1,19:-1
2510a 2510 1 -1 0 -59 485 0 2:1,5:-1,251:1
2510b 2510 1 -1 0 -44 -102 0 2:1,5:-1,251:1
2510c 2510 1 0 0 -85 225 1 2:-1,5:-1,251:1
2512a 2512 0 0 0 -35 82 1 2:1,157:1
2512b 2512 0 0 0 205 498 0 2:-1,157:1
2512c 2512 0 1 0 4 -8 0 2:-1,157:1
2513a 2513 1 -1 1 -2571 -49174 0 7:-1,359:1
2515a 2515 1 1 0 -1433 -21488 0 5:1,503:-1
2515b 2515 1 1 0 2 3 0 5:1,503:-1
2516a 2516 0 1 0 -157 703 1 2:-1,17:-1,37:1
2516b 2516 0 1 0 -209 1096 1 2:-1,17:-1,37:1
2517a 2517 1 0 1 -712 -7975 0 3:-1,839:1
2517b 2517 1 0 0 -12 9 2 3:-1,839:1
2517c 2517 1 0 1 -6 -23 1 3:-1,839:-1
2518a 2518 1 0 1 -4433 126244 0 2:1,1259:-1
2518b 2518 1 0 1 -4 -6 0 2:1,1259:-1
2518c 2518 1 0 0 237 -2015 0 2:-1,1259:1
2520a 2520 0 0 0 162 513 1 2:1,3:1,5:1,7:1
2520b 2520 0 0 0 -16182 -896831 0 2:1,3:1,5:-1,7:1
2520c 2520 0 0 0 -27 -26 0 2:1,3:1,5:-1,7:1
2520d 2520 0 0 0 -2862 -57591 1 2:1,3:1,5:-1,7:-1
2520e 2520 0 0 0 -1578 -24127 0 2:1,3:-1,5:1,7:1
2520f 2520 0 0 0 -138 -2567 0 2:1,3:-1,5:1,7:1
2520g 2520 0 0 0 -6618 -207223 1 2:1,3:-1,5:1,7:-1
2520h 2520 0 0 0 -642 6001 1 2:1,3:-1,5:-1,7:1
2520i 2520 0 0 0 -327 2266 0 2:1,3:-1,5:-1,7:-1
2520j 2520 0 0 0 78 -79 0 2:1,3:-1,5:-1,7:-1
2520k 2520 0 0 0 -145638 24214437 0 2:-1,3:1,5:1,7:1
2520l 2520 0 0 0 -243 702 0 2:-1,3:1,5:1,7:1
2520m 2520 0 0 0 -318 2133 1 2:-1,3:1,5:1,7:-1
2520n 2520 0 0 0 18 -19 1 2:-1,3:1,5:-1,7:1
2520o 2520 0 0 0 -138 -187 1 2:-1,3:-1,5:1,7:1
2520p 2520 0 0 0 -3708 -89532 0 2:-1,3:-1,5:1,7:-1
2520q 2520 0 0 0 -251922 48659389 0 2:-1,3:-1,5:-1,7:1
2520r 2520 0 0 0 -2847 58466 0 2:-1,3:-1,5:-1,7:1
2520s 2520 0 0 0 -12 -124 0 2:-1,3:-1,5:-1,7:1
2520t 2520 0 0 0 78 2189 1 2:-1,3:-1,5:-1,7:-1
2522a 2522 1 1 0 -85 269 1 2:1,13:1,97:1
2522b 2522 1 -1 0 -256 0 0 2:1,13:1,97:-1
2522c 2522 1 1 0 -6 22 1 2:1,13:-1,97:-1
2522d 2522 1 -1 1 -21687 1234665 1 2:-1,13:1,97:-1
2522e 2522 1 0 0 2 -2 1 2:-1,13:-1,97:1
2525a 2525 0 -1 1 -33 -32 1 5:1,101:1
2525b 2525 1 -1 1 -255 1622 1 5:1,101:1
2526a 2526 1 1 0 3 3 1 2:1,3:1,421:1
2526b 2526 1 1 0 -3196 68176 1 2:1,3:1,421:1
2526c 2526 1 0 0 -81 297 1 2:-1,3:-1,421:1
2526d 2526 1 0 0 -30 36 1 2:-1,3:-1,421:1
2528a 2528 0 -1 0 -97 401 1 2:1,79:1
2528b 2528 0 -1 0 -17 1 2 2:-1,79:1
2528c 2528 0 1 0 -97 -401 1 2:-1,79:-1
2528d 2528 0 1 0 -17 -1 1 2:-1,79:-1
2529a 2529 1 -1 1 40 -66 1 3:-1,281:-1
2530a 2530 1 -1 0 -680 6976 0 2:1,5:1,11:1,23:-1
2530b 2530 1 -1 0 -539 -5555 1 2:1,5:-1,11:1,23:-1
2530c 2530 1 1 0 -7 11 1 2:1,5:-1,11:-1,23:1
2530d 2530 1 1 0 8 -6 1 2:1,5:-1,11:-1,23:1
2530e 2530 1 -1 1 152 12331 1 2:-1,5:1,11:1,23:-1
2530f 2530 1 0 0 -176 -1280 1 2:-1,5:1,11:1,23:-1
2530g 2530 1 -1 1 -28 127 1 2:-1,5:1,11:-1,23:1
2530h 2530 1 0 0 629 -15119 1 2:-1,5:1,11:-1,23:1
2530i 2530 1 0 0 -1331 1771561 1 2:-1,5:1,11:-1,23:1
2530j 2530 1 -1 1 -28 -49 0 2:-1,5:1,11:-1,23:-1
2530k 2530 1 1 1 -6375 198685 1 2:-1,5:-1,11:1,23:1
2530l 2530 1 -1 1 -2532 -50369 0 2:-1,5:-1,11:1,23:-1
2532a 2532 0 -1 0 -69 -210 0 2:-1,3:1,211:1
2532b 2532 0 1 0 -1 8 1 2:-1,3:-1,211:1
2532c 2532 0 1 0 31 48 0 2:-1,3:-1,211:-1
2534a 2534 1 0 1 -81 324 1 2:1,7:1,181:1
2534b 2534 1 -1 0 -113 541 1 2:1,7:-1,181:-1
2534c 2534 1 0 1 -136 862 1 2:1,7:-1,181:-1
2534d 2534 1 -1 1 -949 11545 0 2:-1,7:1,181:1
2534e 2534 1 -1 1 -1393324 -640018129 0 2:-1,7:1,181:1
2534f 2534 1 -1 1 -303 -1955 0 2:-1,7:1,181:1
2534g 2534 1 -1 1 -312 2235 2 2:-1,7:1,181:1
2534h 2534 1 0 0 -1208 16064 1 2:-1,7:1,181:-1
2534i 2534 1 0 0 3 -271 0 2:-1,7:-1,181:-1
2535a 2535 1 1 0 -3 408 1 3:1,5:1,13:1
2535b 2535 0 -1 1 -32166 2290862 1 3:1,5:1,13:1
2535c 2535 0 -1 1 5859 228386 0 3:1,5:1,13:-1
2535d 2535 0 -1 1 35 93 1 3:1,5:-1,13:-1
2535e 2535 0 1 1 49799 2237746 0 3:-1,5:1,13:1
2535f 2535 1 0 1 -18594 974287 0 3:-1,5:1,13:1
2535g 2535 0 1 1 -5126 144005 0 3:-1,5:1,13:1
2535h 2535 0 1 1 -56 -1504 0 3:-1,5:1,13:1
2535i 2535 1 0 0 -101 480 1 3:-1,5:1,13:-1
2535j 2535 0 1 1 295 1109 1 3:-1,5:-1,13:1
2535k 2535 0 1 1 -11210 -721444 1 3:-1,5:-1,13:1
2535l 2535 0 1 1 -30 56 1 3:-1,5:-1,13:1
2535m 2535 1 0 1 -17073 1071631 0 3:-1,5:-1,13:-1
2537a 2537 0 -1 1 -284 -1751 1 43:1,59:1
2537b 2537 0 0 1 -696086 -223533420 0 43:1,59:-1
2537c 2537 1 0 1 20 -137 0 43:1,59:-1
2537d 2537 0 1 1 162 -708 2 43:1,59:-1
2537e 2537 1 -1 0 -58 -105 0 43:-1,59:1
2538a 2538 1 -1 0 -1905 32597 1 2:1,3:1,47:1
2538b 2538 1 -1 0 -243 8693 0 2:1,3:1,47:-1
2538c 2538 1 -1 0 -12 -16 1 2:1,3:-1,47:-1
2538d 2538 1 -1 1 -110 541 1 2:-1,3:-1,47:1
2538e 2538 1 -1 1 -2189 -232523 1 2:-1,3:-1,47:1
2538f 2538 1 -1 1 -212 -1137 0 2:-1,3:-1,47:-1
2539a 2539 0 0 1 -11 14 1 2539:1
2540a 2540 0 0 0 -232 1444 1 2:-1,5:-1,127:1
2541a 2541 1 1 0 -389622 -93997647 0 3:1,7:1,11:-1
2541b 2541 1 1 0 -4116 -103341 0 3:1,7:1,11:-1
2541c 2541 1 1 1 3 12 2 3:1,7:1,11:-1
2541d 2541 0 -1 1 -180572 -26845765 0 3:1,7:1,11:-1
2541e 2541 0 -1 1 -700 -6876 0 3:1,7:1,11:-1
2541f 2541 1 1 0 361 -14406 1 3:1,7:-1,11:-1
2541g 2541 1 1 1 -3220 69158 1 3:1,7:-1,11:-1
2541h 2541 0 -1 1 -84740 9490535 1 3:1,7:-1,11:-1
2541i 2541 0 -1 1 -1492 20712 1 3:1,7:-1,11:-1
2541j 2541 0 1 1 -7 -5 1 3:-1,7:1,11:-1
2541k 2541 0 1 1 -887 2822 0 3:-1,7:-1,11:-1
2541l 2541 1 0 1 118 119 0 3:-1,7:-1,11:-1
2542a 2542 1 1 1 403 -22109 0 2:-1,31:1,41:1
2544a 2544 0 -1 0 -32 96 2 2:1,3:1,53:-1
2544b 2544 0 -1 0 -16 -32 0 2:1,3:1,53:-1
2544c 2544 0 -1 0 -968 -11280 0 2:-1,3:1,53:1
2544d 2544 0 1 0 32 500 1 2:-1,3:-1,53:1
2544e 2544 0 1 0 104 788 1 2:-1,3:-1,53:1
2544f 2544 0 1 0 -192 -3276 0 2:-1,3:-1,53:-1
2544g 2544 0 1 0 2264 -6988 0 2:-1,3:-1,53:-1
2545a 2545 1 1 1 -41 84 1 5:1,509:1
2545b 2545 1 -1 1 3 -6 1 5:-1,509:-1
2547a 2547 1 -1 0 45 148 0 3:-1,283:1
2548a 2548 0 0 0 -49 49 2 2:-1,7:1,13:1
2548b 2548 0 1 0 -4230 -107143 1 2:-1,7:1,13:-1
2548c 2548 0 1 0 -702 6929 1 2:-1,7:1,13:-1
2548d 2548 0 1 0 572 -3900 1 2:-1,7:1,13:-1
2548e 2548 0 -1 0 -86 337 1 2:-1,7:-1,13:1
2548f 2548 0 -1 0 -34414 -2445463 1 2:-1,7:-1,13:1
2548g 2548 0 -1 0 12 8 1 2:-1,7:-1,13:1
2548h 2548 0 -1 0 -261 -2911 1 2:-1,7:-1,13:1
2548i 2548 0 0 0 -196 1029 0 2:-1,7:-1,13:-1
2548j 2548 0 0 0 -28616 -1867292 0 2:-1,7:-1,13:-1
2548k 2548 0 0 0 -2401 -16807 0 2:-1,7:-1,13:-1
2550a 2550 1 1 0 100 0 1 2:1,3:1,5:1,17:1
2550b 2550 1 1 0 -850 8500 1 2:1,3:1,5:1,17:1
2550ba 2550 1 0 0 -66838 8608292 1 2:-1,3:-1,5:1,17:1
2550bb 2550 1 0 0 -43 -103 1 2:-1,3:-1,5:1,17:1
2550bc 2550 1 0 0 612 -10608 0 2:-1,3:-1,5:1,17:-1
2550bd 2550 1 0 0 -63 117 0 2:-1,3:-1,5:1,17:-1
2550be 2550 1 0 0 -1628 432 0 2:-1,3:-1,5:1,17:-1
2550bf 2550 1 0 0 -1938 25092 1 2:-1,3:-1,5:-1,17:-1
2550c 2550 1 1 0 -48450 3136500 1 2:1,3:1,5:1,17:1
2550d 2550 1 1 0 625 -46875 0 2:1,3:1,5:1,17:-1
2550e 2550 1 1 0 25 -75 0 2:1,3:1,5:-1,17:1
2550f 2550 1 1 0 -27625 -1778825 0 2:1,3:1,5:-1,17:1
2550g 2550 1 1 0 -1075 -12875 1 2:1,3:1,5:-1,17:-1
2550h 2550 1 0 1 -2001 42148 0 2:1,3:-1,5:1,17:1
2550i 2550 1 0 1 -326 -1702 0 2:1,3:-1,5:1,17:1
2550j 2550 1 0 1 -351801 -97421732 0 2:1,3:-1,5:1,17:1
2550k 2550 1 0 1 -2526 42448 0 2:1,3:-1,5:1,17:1
2550l 2550 1 0 1 -21 -32 1 2:1,3:-1,5:1,17:-1
2550m 2550 1 0 1 349 6698 1 2:1,3:-1,5:1,17:-1
2550n 2550 1 0 1 -7201 234548 1 2:1,3:-1,5:-1,17:1
2550o 2550 1 0 1 -38539451 48878897798 0 2:1,3:-1,5:-1,17:-1
2550p 2550 1 0 1 -11326 464048 0 2:1,3:-1,5:-1,17:-1
2550q 2550 1 0 1 -76 -952 0 2:1,3:-1,5:-1,17:-1
2550r 2550 1 1 1 -1541578 390414551 0 2:-1,3:1,5:1,17:1
2550s 2550 1 1 1 -18063 -954219 0 2:-1,3:1,5:1,17:1
2550t 2550 1 1 1 -3 -9 0 2:-1,3:1,5:1,17:1
2550u 2550 1 1 1 -288 1761 1 2:-1,3:1,5:1,17:-1
2550v 2550 1 1 1 -6388 193781 1 2:-1,3:1,5:1,17:-1
2550w 2550 1 1 1 -513 -3969 1 2:-1,3:1,5:-1,17:1
2550x 2550 1 1 1 -453 3531 1 2:-1,3:1,5:-1,17:1
2550y 2550 1 1 1 -13 -19 0 2:-1,3:1,5:-1,17:-1
2550z 2550 1 1 1 -8795013 -12177716469 0 2:-1,3:1,5:-1,17:-1
2552a 2552 0 -1 0 -137 1069 2 2:1,11:-1,29:1
2553a 2553 1 1 0 -173 810 0 3:1,23:-1,37:1
2553b 2553 1 0 1 -1481 23969 0 3:-1,23:1,37:1
2554a 2554 1 0 1 -10 10 1 2:1,1277:1
2554b 2554 1 0 0 -294 1916 0 2:-1,1277:1
2554c 2554 1 -1 1 -24 27 2 2:-1,1277:1
2555a 2555 0 0 1 2 -21 1 5:1,7:1,73:1
2555b 2555 0 1 1 -26 -65 1 5:1,7:1,73:1
2555c 2555 1 -1 1 2 -28 0 5:1,7:-1,73:1
2555d 2555 0 -1 1 -4436 -112254 0 5:1,7:-1,73:1
2555e 2555 0 0 1 347 -746 0 5:1,7:-1,73:1
2555f 2555 1 0 1 -253 -3377 0 5:-1,7:1,73:1
2556a 2556 0 0 0 -648 6345 0 2:-1,3:1,71:1
2556b 2556 0 0 0 -72 -235 1 2:-1,3:1,71:-1
2557a 2557 1 0 0 -5 -4 1 2557:1
2561a 2561 0 -1 1 -16 29 0 13:1,197:-1
2561b 2561 0 1 1 -1058 -13605 1 13:-1,197:-1
2562a 2562 1 1 0 -2 12 1 2:1,3:1,7:1,61:1
2562b 2562 1 1 0 1278 648 0 2:1,3:1,7:1,61:-1
2562c 2562 1 1 0 -261 1485 0 2:1,3:1,7:-1,61:1
2562d 2562 1 0 1 24 310 0 2:1,3:-1,7:1,61:1
2562e 2562 1 0 1 -81 334 0 2:1,3:-1,7:-1,61:-1
2562f 2562 1 0 1 6003 -85112 0 2:1,3:-1,7:-1,61:-1
2562g 2562 1 0 1 -1312 20462 0 2:1,3:-1,7:-1,61:-1
2562h 2562 1 0 1 -185 -1168 0 2:1,3:-1,7:-1,61:-1
2562i 2562 1 1 1 -39526 3008171 0 2:-1,3:1,7:1,61:1
2562j 2562 1 1 1 -5597 -248173 1 2:-1,3:1,7:1,61:-1
2562k 2562 1 1 1 155 2603 1 2:-1,3:1,7:-1,61:1
2562l 2562 1 1 1 -11 -55 1 2:-1,3:1,7:-1,61:1
2562m 2562 1 1 1 253 335 0 2:-1,3:1,7:-1,61:-1
2562n 2562 1 0 0 -242 1476 1 2:-1,3:-1,7:1,61:1
2563a 2563 0 1 1 -272156 54560182 0 11:1,233:-1
2563b 2563 0 1 1 17 11 0 11:-1,233:1
2563c 2563 1 1 0 92 495 0 11:-1,233:1
2563d 2563 1 0 0 -9 28 2 11:-1,233:1
2563e 2563 1 1 0 8 5 1 11:-1,233:-1
2565a 2565 0 0 1 -67743 -488302 1 3:1,5:1,19:1
2565b 2565 0 0 1 -7527 18085 0 3:1,5:-1,19:1
2565c 2565 0 0 1 -18 -27 1 3:-1,5:1,19:-1
2565d 2565 0 0 1 -162 722 0 3:-1,5:-1,19:-1
2566a 2566 1 -1 1 -4 -3 0 2:-1,1283:1
2568a 2568 0 -1 0 -40 -212 1 2:1,3:1,107:1
2568b 2568 0 -1 0 -171710260 866106274669 1 2:1,3:1,107:1
2568c 2568 0 -1 0 -20 -27 1 2:1,3:1,107:1
2568d 2568 0 1 0 -207 1782 0 2:1,3:-1,107:1
2568e 2568 0 1 0 -12 9 1 2:1,3:-1,107:-1
2568f 2568 0 -1 0 -2280 -41151 0 2:-1,3:1,107:1
2568g 2568 0 -1 0 -360 -2511 0 2:-1,3:1,107:1
2568h 2568 0 -1 0 -104 444 0 2:-1,3:1,107:1
2568i 2568 0 -1 0 -149444 -21955623 1 2:-1,3:1,107:-1
