# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 10000 --out data/m4/ne_cache.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 10000
# count 1048
# A B N eps
-13 -19 3836 1
-13 -18 640 -1
-13 -17 15760 1
-13 -16 15008 1
-13 -15 10852 1
-13 -14 55936 -1
-13 -13 13520 1
-13 -12 1120 1
-13 -11 22084 1
-13 -10 97408 1
-13 -9 105616 -1
-13 -8 56480 1
-13 -7 29860 -1
-13 -6 125056 -1
-13 -5 129808 1
-13 -4 66848 1
-13 -3 34180 1
-13 -2 138880 -1
-13 -1 140176 -1
-13 0 5408 1
-13 1 35044 -1
-13 2 138880 -1
-13 3 136720 1
-13 4 66848 -1
-13 5 32452 1
-13 6 125056 -1
-13 7 119440 -1
-13 8 56480 1
-13 9 26404 -1
-13 10 97408 1
-13 11 88336 1
-13 12 1120 1
-13 13 3380 1
-13 14 55936 -1
-13 15 43408 1
-13 16 15008 1
-13 17 3940 1
-13 18 640 -1
-13 19 15344 -1
-12 -19 11340 -1
-12 -18 9792 1
-12 -17 14256 1
-12 -15 3348 -1
-12 -14 25920 1
-12 -13 37584 -1
-12 -12 1512 -1
-12 -11 180 1
-12 -10 67392 1
-12 -9 5040 1
-12 -8 5184 -1
-12 -7 2484 -1
-12 -6 95040 -1
-12 -5 99792 -1
-12 -4 6480 1
-12 -3 26676 -1
-12 -2 12096 -1
-12 -1 110160 -1
-12 0 288 -1
-12 1 27540 -1
-12 2 12096 1
-12 3 106704 -1
-12 4 3240 -1
-12 5 24948 -1
-12 6 95040 1
-12 7 9936 -1
-12 8 5184 1
-12 9 1260 -1
-12 10 67392 -1
-12 11 720 1
-12 12 3024 -1
-12 13 9396 -1
-12 14 25920 -1
-12 15 13392 -1
-12 17 3564 -1
-12 18 9792 -1
-12 19 45360 1
-11 -19 70768 1
-11 -18 3424 1
-11 -17 19832 1
-11 -16 25408 1
-11 -15 12016 -1
-11 -14 32 1
-11 -13 6088 -1
-11 -12 22976 -1
-11 -11 32912 -1
-11 -10 328 -1
-11 -9 25096 -1
-11 -8 57536 -1
-11 -7 64016 -1
-11 -6 272 -1
-11 -5 37192 1
-11 -4 78272 -1
-11 -3 81296 1
-11 -2 5216 -1
-11 -1 42376 -1
-11 0 7744 1
-11 1 84752 -1
-11 2 5216 -1
-11 3 40648 -1
-11 4 78272 1
-11 5 74384 -1
-11 6 17 1
-11 7 32008 -1
-11 8 57536 1
-11 9 50192 -1
-11 10 656 -1
-11 11 16456 1
-11 12 22976 1
-11 13 12176 1
-11 14 32 1
-11 15 6008 1
-11 16 25408 1
-11 17 39664 -1
-11 18 3424 -1
-11 19 35384 1
-10 -19 45976 -1
-10 -18 75968 -1
-10 -17 60848 -1
-10 -16 23296 -1
-10 -15 16600 -1
-10 -14 20672 -1
-10 -13 9008 1
-10 -12 896 -1
-10 -11 5864 -1
-10 -10 20800 -1
-10 -9 4144 1
-10 -8 18176 1
-10 -7 21416 1
-10 -6 48448 1
-10 -5 53200 -1
-10 -4 28544 1
-10 -3 1768 -1
-10 -2 62272 -1
-10 -1 63568 1
-10 0 6400 -1
-10 1 31784 1
-10 2 62272 -1
-10 3 3536 1
-10 4 28544 1
-10 5 26600 1
-10 6 48448 1
-10 7 42832 1
-10 8 18176 1
-10 9 2072 -1
-10 10 20800 -1
-10 11 11728 1
-10 12 896 -1
-10 13 4504 1
-10 14 20672 1
-10 15 33200 1
-10 16 23296 1
-10 17 30424 1
-10 18 75968 1
-10 19 91952 -1
-9 -19 9108 -1
-9 -18 10368 -1
-9 -17 26064 -1
-9 -16 31968 -1
-9 -15 12636 1
-9 -14 38016 1
-9 -13 26352 -1
-9 -12 7776 -1
-9 -11 1404 1
-9 -10 1152 -1
-9 -9 1296 -1
-9 -8 3168 1
-9 -7 6372 -1
-9 -6 31104 -1
-9 -5 35856 1
-9 -4 19872 -1
-9 -3 10692 -1
-9 -2 44928 1
-9 -1 15408 -1
-9 0 288 1
-9 1 3852 1
-9 2 44928 1
-9 3 42768 -1
-9 4 19872 1
-9 5 8964 1
-9 6 31104 -1
-9 7 25488 -1
-9 8 3168 -1
-9 9 324 -1
-9 10 1152 1
-9 11 5616 -1
-9 12 7776 -1
-9 13 6588 1
-9 14 38016 -1
-9 15 50544 -1
-9 16 31968 1
-9 17 6516 -1
-9 18 10368 1
-9 19 36432 -1
-8 -19 30796 -1
-8 -18 21440 -1
-8 -17 92080 -1
-8 -16 608 -1
-8 -15 16108 1
-8 -14 51904 1
-8 -13 40240 1
-8 -12 460 1
-8 -11 4876 1
-8 -10 10432 1
-8 -9 2224 1
-8 -8 320 1
-8 -7 580 -1
-8 -6 17216 1
-8 -5 21968 1
-8 -4 1616 -1
-8 -3 380 -1
-8 -2 31040 -1
-8 -1 32336 1
-8 0 256 1
-8 1 8084 1
-8 2 31040 1
-8 3 1520 1
-8 4 404 -1
-8 5 5492 1
-8 6 17216 -1
-8 7 2320 -1
-8 8 320 -1
-8 9 556 -1
-8 10 10432 1
-8 11 19504 -1
-8 12 1840 -1
-8 13 10060 -1
-8 14 51904 1
-8 15 64432 -1
-8 16 608 -1
-8 17 23020 1
-8 18 21440 -1
-8 19 123184 1
-7 -19 5360 1
-7 -18 1844 1
-7 -17 51448 1
-7 -16 88640 -1
-7 -15 75248 1
-7 -14 3920 1
-7 -13 25528 1
-7 -12 40256 1
-7 -11 30320 -1
-7 -10 1328 1
-7 -9 6520 -1
-7 -8 5696 1
-7 -7 784 1
-7 -6 40 1
-7 -5 5576 1
-7 -4 15040 1
-7 -3 18064 1
-7 -2 316 -1
-7 -1 10760 1
-7 0 3136 -1
-7 1 21520 -1
-7 2 1264 1
-7 3 9032 1
-7 4 15040 -1
-7 5 11152 1
-7 6 80 1
-7 7 392 -1
-7 8 5696 1
-7 9 13040 -1
-7 10 664 1
-7 11 15160 1
-7 12 40256 1
-7 13 51056 -1
-7 14 980 1
-7 15 37624 1
