# ne_cache v1 — ORACLE-PROVENANCE INPUT DATA (m4-pinning §P4/C3; RESEARCH-M §2 amendment).
# Conductor N(E) and root number ε(E) for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# N, eps are OBTAINED FROM AN ORACLE (PARI/GP) — a live oracle supplying
# trusted INPUT, not refereeing our numbers; a_p stays COMPUTED (ap_charsum).
# Residual risk: a systematic oracle N/ε error propagates silently — certified
# against pinned ecdata by verify/m4/oracle_dual_overlap_NE (5676 classes exact).
# Generated by: `at ne-cache --X 262144 --out data/m5/ne_cache_x262144.txt`.
# Oracle: PARI/GP [2, 17, 4], ellglobalred(ellinit([0,0,0,A,B]))[1] (N), ellrootno (eps).
# provenance: oracle   (columns N, eps)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 262144
# count 15936
# A B N eps
-40 -98 52928 1
-40 -97 31312 1
-40 -96 896 -1
-40 -95 49300 -1
-40 -94 278848 -1
-40 -93 27664 1
-40 -92 6868 1
-40 -91 129652 -1
-40 -90 596800 1
-40 -89 674128 1
-40 -88 46912 -1
-40 -87 206548 -1
-40 -86 900928 -1
-40 -85 974800 1
-40 -84 65488 -1
-40 -83 279988 1
-40 -82 1191232 1
-40 -81 1261648 1
-40 -80 10400 -1
-40 -79 349972 1
-40 -78 1467712 1
-40 -77 1534672 1
-40 -76 1924 1
-40 -75 11900 1
-40 -74 1730368 1
-40 -73 1793872 1
-40 -72 16576 1
-40 -71 479572 -1
-40 -70 1979200 1
-40 -69 2039248 -1
-40 -68 131152 1
-40 -67 539188 -1
-40 -66 2214208 -1
-40 -65 2270800 1
-40 -64 18176 1
-40 -63 5564 -1
-40 -62 2435392 1
-40 -61 2488528 -1
-40 -60 39700 -1
-40 -59 648052 1
-40 -58 2642752 1
-40 -57 2692432 -1
-40 -56 171328 -1
-40 -55 697300 -1
-40 -54 2836288 1
-40 -53 2882512 -1
-40 -52 182992 1
-40 -51 743092 1
-40 -50 603200 1
-40 -49 3058768 1
-40 -48 24224 -1
-40 -47 785428 1
-40 -46 3181888 1
-40 -45 3221200 -1
-40 -44 50932 -1
-40 -43 824308 1
-40 -42 3333952 -1
-40 -41 3369808 1
-40 -40 212800 -1
-40 -39 23236 -1
-40 -38 3472192 1
-40 -37 3504592 -1
-40 -36 221008 -1
-40 -35 891700 -1
-40 -34 3596608 1
-40 -33 3625552 1
-40 -32 28544 -1
-40 -31 920212 -1
-40 -30 3707200 1
-40 -29 3732688 -1
-40 -28 58708 1
-40 -27 945268 -1
-40 -26 543424 -1
-40 -25 765200 -1
-40 -24 14144 -1
-40 -23 138124 1
-40 -22 3886912 -1
-40 -21 3905488 -1
-40 -20 245200 -1
-40 -19 985012 -1
-40 -18 3956032 -1
-40 -17 3971152 1
-40 -16 31136 1
-40 -15 999700 1
-40 -14 4011328 1
-40 -13 4022992 1
-40 -12 63028 -1
-40 -11 1010932 1
-40 -10 4052800 -1
-40 -9 4061008 1
-40 -8 254272 1
-40 -7 1018708 -1
-40 -6 4080448 -1
-40 -5 4085200 1
-40 -4 255568 1
-40 -3 1023028 1
-40 -2 4094272 1
-40 -1 4095568 1
-40 0 6400 1
-40 1 1023892 1
-40 2 4094272 -1
-40 3 4092112 1
-40 4 63892 1
-40 5 1021300 1
-40 6 4080448 1
-40 7 4074832 -1
-40 8 254272 -1
-40 9 1015252 1
-40 10 4052800 1
-40 11 4043728 1
-40 12 252112 -1
-40 13 1005748 1
-40 14 4011328 -1
-40 15 3998800 1
-40 16 31136 -1
-40 17 992788 1
-40 18 3956032 1
-40 19 3940048 -1
-40 20 61300 -1
-40 21 976372 -1
-40 22 3886912 1
-40 23 552496 -1
-40 24 14144 1
-40 25 191300 -1
-40 26 543424 -1
-40 27 3781072 -1
-40 28 234832 1
-40 29 933172 -1
-40 30 3707200 -1
-40 31 3680848 -1
-40 32 28544 1
-40 33 906388 1
-40 34 3596608 -1
-40 35 3566800 -1
-40 36 55252 -1
-40 37 876148 -1
-40 38 3472192 -1
-40 39 92944 -1
-40 40 212800 1
-40 41 842452 1
-40 42 3333952 1
-40 43 3297232 1
-40 44 203728 -1
-40 45 805300 -1
-40 46 3181888 -1
-40 47 3141712 1
-40 48 24224 1
-40 49 764692 1
-40 50 603200 -1
-40 51 2972368 1
-40 52 45748 1
-40 53 720628 -1
-40 54 2836288 -1
-40 55 2789200 -1
-40 56 171328 1
-40 57 673108 -1
-40 58 2642752 -1
-40 59 2592208 1
-40 60 158800 -1
-40 61 622132 -1
-40 62 2435392 -1
-40 63 22256 1
-40 64 18176 1
-40 65 567700 1
-40 66 2214208 1
-40 67 2156752 -1
-40 68 32788 1
-40 69 509812 -1
-40 70 1979200 -1
-40 71 1918288 -1
-40 72 16576 1
-40 73 448468 1
-40 74 1730368 -1
-40 75 47600 -1
-40 76 7696 1
-40 77 383668 1
-40 78 1467712 -1
-40 79 1399888 1
-40 80 10400 1
-40 81 315412 1
-40 82 1191232 -1
-40 83 1119952 1
-40 84 16372 -1
-40 85 243700 1
-40 86 900928 1
-40 87 826192 -1
-40 88 46912 1
-40 89 168532 1
-40 90 596800 -1
-40 91 518608 -1
-40 92 27472 1
-40 93 6916 1
-40 94 278848 1
-40 95 197200 -1
-40 96 896 1
-40 97 7828 1
-40 98 52928 1
-39 -98 5508 1
-39 -97 1656 1
-39 -96 184896 -1
-39 -95 102384 1
-39 -94 1296 1
-39 -93 30024 1
-39 -92 576 1
-39 -91 219024 -1
-39 -90 6192 -1
-39 -89 11016 1
-39 -88 50112 -1
-39 -87 526608 1
-39 -86 18792 -1
-39 -85 337608 1
-39 -84 748224 -1
-39 -83 91152 -1
-39 -82 13932 -1
-39 -81 160344 -1
-39 -80 1031616 -1
-39 -79 122256 -1
-39 -78 73008 -1
-39 -77 617544 1
-39 -76 1301184 -1
-39 -75 1366416 1
-39 -74 9936 -1
-39 -73 747144 1
-39 -72 518976 1
-39 -71 1618704 -1
-39 -70 72 1
-39 -69 869832 1
-39 -68 1798848 -1
-39 -67 1857168 -1
-39 -66 29916 1
-39 -65 12168 -1
-39 -64 2026944 1
-39 -63 693936 1
-39 -62 133488 1
-39 -61 121608 1
-39 -60 2241216 1
-39 -59 2292624 -1
-39 -58 146448 1
-39 -57 1196424 1
-39 -56 271296 1
-39 -55 2489616 1
-39 -54 26424 1
-39 -53 1291464 -1
-39 -52 292032 1
-39 -51 2672784 1
-39 -50 42444 1
-39 -49 1379592 1
-39 -48 2801088 1
-39 -47 315792 1
-39 -46 180144 1
-39 -45 486936 1
-39 -44 2960064 -1
-39 -43 37008 -1
-39 -42 189648 1
-39 -41 1535112 -1
-39 -40 3105216 1
-39 -39 3139344 1
-39 -38 1224 1
-39 -37 1602504 -1
-39 -36 1078848 1
-39 -35 3267216 1
