# rank_cache v1 — ORACLE-PROVENANCE analytic-rank column (PR-2 Amendment 1/2; RESEARCH-M §2).
# r(E) = ord_{s=1} L(E,s), the ANALYTIC rank, for the height-ordered family
#   {E_{A,B}: y²=x³+Ax+B, H(E)=max(4|A|³,27B²) ≤ X, reduced, nonsingular}.
# r is OBTAINED FROM AN ORACLE (PARI/GP ellanalyticrank) — numerically
# determined; NEVER the Mordell–Weil rank (that equality is BSD, never asserted).
# Safeguard: analytic-rank parity == cached ε parity for every curve (ε=(−1)^r is
# the functional-equation sign, a theorem); a mismatch aborts `at rank-cache`.
# Generated by: `at rank-cache --X 65536 --out data/m5/rank_cache_x65536.txt`.
# Oracle: PARI/GP [2, 17, 4], ellanalyticrank(ellinit([0,0,0,A,B])) (prec 38).
# provenance: oracle-analytic-rank   (column rank)
# format_version 1
# generator_hash 787e95ade733c99f38e72ccb7d38f049b7e02b59ddb673627c58d8bc346de521
# X 65536
# count 5042
# A B rank
-25 -49 1
-25 -48 0
-25 -47 1
-25 -46 1
-25 -45 0
-25 -44 1
-25 -43 1
-25 -42 0
-25 -41 2
-25 -40 0
-25 -39 1
-25 -38 2
-25 -37 1
-25 -36 0
-25 -35 1
-25 -34 0
-25 -33 2
-25 -32 2
-25 -31 0
-25 -30 1
-25 -29 0
-25 -28 1
-25 -27 2
-25 -26 2
-25 -25 0
-25 -24 1
-25 -23 2
-25 -22 1
-25 -21 1
-25 -20 2
-25 -19 0
-25 -18 0
-25 -17 2
-25 -16 1
-25 -15 1
-25 -14 0
-25 -13 1
-25 -12 1
-25 -11 1
-25 -10 0
-25 -9 0
-25 -8 1
-25 -7 0
-25 -6 2
-25 -5 0
-25 -4 1
-25 -3 0
-25 -2 1
-25 -1 1
-25 0 1
-25 1 3
-25 2 1
-25 3 0
-25 4 2
-25 5 0
-25 6 0
-25 7 2
-25 8 1
-25 9 2
-25 10 0
-25 11 1
-25 12 2
-25 13 1
-25 14 0
-25 15 1
-25 16 3
-25 17 0
-25 18 0
-25 19 0
-25 20 1
-25 21 1
-25 22 1
-25 23 0
-25 24 0
-25 25 2
-25 26 0
-25 27 0
-25 28 2
-25 29 0
-25 30 1
-25 31 0
-25 32 0
-25 33 2
-25 34 2
-25 35 1
-25 36 2
-25 37 1
-25 38 0
-25 39 1
-25 40 2
-25 41 0
-25 42 0
-25 43 1
-25 44 0
-25 45 2
-25 46 1
-25 47 1
-25 48 0
-25 49 2
-24 -49 0
-24 -48 0
-24 -47 1
-24 -46 1
-24 -45 1
-24 -44 1
-24 -43 1
-24 -42 1
-24 -41 1
-24 -40 0
-24 -39 1
-24 -38 1
-24 -37 0
-24 -36 2
-24 -35 1
-24 -34 1
-24 -33 1
-24 -32 0
-24 -31 2
-24 -30 0
-24 -29 2
-24 -28 1
-24 -27 0
-24 -26 0
-24 -25 1
-24 -24 1
-24 -23 1
-24 -22 1
-24 -21 0
-24 -20 1
-24 -19 1
-24 -18 0
-24 -17 1
-24 -16 1
-24 -15 1
-24 -14 1
-24 -13 0
-24 -12 0
-24 -11 1
-24 -10 1
-24 -9 1
-24 -8 1
-24 -7 2
-24 -6 1
-24 -5 1
-24 -4 1
-24 -3 1
-24 -2 1
-24 -1 1
-24 0 0
-24 1 1
-24 2 2
-24 3 1
-24 4 2
-24 5 0
-24 6 2
-24 7 0
-24 8 0
-24 9 2
-24 10 2
-24 11 1
-24 12 0
-24 13 1
-24 14 1
-24 15 1
-24 16 1
-24 17 1
-24 18 0
-24 19 1
-24 20 1
-24 21 2
-24 22 1
-24 23 1
-24 24 2
-24 25 1
-24 26 1
-24 27 1
-24 28 1
-24 29 0
-24 30 1
-24 31 1
-24 32 1
-24 33 1
-24 34 0
-24 35 1
-24 36 1
-24 37 0
-24 38 0
-24 39 1
-24 40 0
-24 41 2
-24 42 0
-24 43 1
-24 44 1
-24 45 0
-24 46 1
-24 47 0
-24 48 1
-24 49 2
-23 -49 1
-23 -48 0
-23 -47 1
-23 -46 1
-23 -45 1
-23 -44 1
-23 -43 1
-23 -42 1
-23 -41 1
-23 -40 1
-23 -39 1
-23 -38 1
-23 -37 1
-23 -36 1
-23 -35 1
-23 -34 1
-23 -33 2
-23 -32 1
-23 -31 0
-23 -30 1
-23 -29 2
-23 -28 1
-23 -27 1
-23 -26 1
-23 -25 0
-23 -24 1
-23 -23 0
-23 -22 1
-23 -21 2
-23 -20 1
-23 -19 1
-23 -18 1
-23 -17 1
-23 -16 0
-23 -15 0
-23 -14 1
-23 -13 2
-23 -12 1
-23 -11 0
-23 -10 0
-23 -9 1
-23 -8 1
-23 -7 1
-23 -6 2
-23 -5 1
-23 -4 1
-23 -3 1
-23 -2 1
-23 -1 1
-23 0 1
-23 1 2
-23 2 0
-23 3 1
-23 4 2
-23 5 1
-23 6 1
-23 7 2
-23 8 2
-23 9 2
-23 10 0
-23 11 2
-23 12 0
-23 13 0
-23 14 2
-23 15 1
-23 16 1
-23 17 0
-23 18 0
-23 19 1
-23 20 0
-23 21 2
-23 22 1
-23 23 1
-23 24 0
-23 25 1
-23 26 2
-23 27 1
-23 28 0
-23 29 2
-23 30 0
-23 31 1
-23 32 2
-23 33 1
-23 34 0
-23 35 1
-23 36 2
-23 37 1
-23 38 1
-23 39 2
-23 40 0
-23 41 0
-23 42 1
-23 43 2
-23 44 1
-23 45 0
-23 46 1
-23 47 1
-23 48 0
-23 49 1
-22 -49 1
-22 -48 1
-22 -47 1
-22 -46 0
-22 -45 2
-22 -44 0
-22 -43 0
-22 -42 0
-22 -41 1
-22 -40 0
-22 -39 0
-22 -38 1
-22 -37 1
-22 -36 0
-22 -35 2
-22 -34 1
-22 -33 1
-22 -32 1
-22 -31 1
-22 -30 1
-22 -29 1
-22 -28 1
-22 -27 1
-22 -26 0
-22 -25 1
-22 -24 0
-22 -23 2
-22 -22 1
-22 -21 1
-22 -20 3
-22 -19 0
